office_id,office_load,documents_missing,client_response_delay_days,reassignment_count,days_in_stage,sla_target_days,total_processing_days,sla_breach,docs_per_sla,client_delay_per_sla,load_x_reassign,stage_time_ratio,is_urgent,case_type_Payroll,case_type_Relocation,case_type_Tax,case_type_Visa Renewal,case_type_Work Permit,country_CA,country_DE,country_UK,country_US,processing_stage_Decision,processing_stage_Documentation,processing_stage_Government Review,processing_stage_Intake,processing_stage_Submission,priority_Urgent,document_complexity_Low,document_complexity_Medium,missing_docs_bucket_1-2,missing_docs_bucket_3-4,missing_docs_bucket_5+,office_load_bucket_mid,office_load_bucket_high,office_load_bucket_very_high,client_delay_bucket_1-7,client_delay_bucket_8-14,client_delay_bucket_15-30,client_delay_bucket_30+
106,51,1,18,1,3,21,43.7,1,0.047619047619047616,0.8571428571428571,102,0.14285714285714285,0,False,False,True,False,False,True,False,False,False,False,False,False,True,False,False,False,True,True,False,False,True,False,False,False,False,True,False
119,34,6,4,2,4,35,65.2,1,0.17142857142857143,0.11428571428571428,102,0.11428571428571428,0,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False
114,121,1,25,0,40,28,85.6,1,0.03571428571428571,0.8928571428571429,121,1.4285714285714286,1,False,True,False,False,False,False,True,False,False,False,False,True,False,False,True,True,False,True,False,False,False,False,True,False,False,True,False
110,94,2,4,0,33,30,49.7,1,0.06666666666666667,0.13333333333333333,94,1.1,0,False,False,False,True,False,False,True,False,False,False,False,False,True,False,False,True,False,True,False,False,False,True,False,True,False,False,False
107,85,0,7,1,20,21,45.4,1,0.0,0.3333333333333333,170,0.9523809523809523,0,False,False,True,False,False,False,False,True,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False,True,False,False,False
106,109,6,29,0,15,23,88.1,1,0.2608695652173913,1.2608695652173914,109,0.6521739130434783,1,False,False,False,True,False,False,False,False,True,False,False,True,False,False,True,True,False,False,False,True,False,False,True,False,False,True,False
118,82,4,16,1,7,21,56.5,1,0.19047619047619047,0.7619047619047619,164,0.3333333333333333,0,False,False,True,False,False,True,False,False,False,False,True,False,False,False,False,False,True,False,True,False,False,True,False,False,False,True,False
110,117,5,2,0,44,30,59.0,1,0.16666666666666666,0.06666666666666667,117,1.4666666666666666,0,False,False,False,True,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,True,False,False,True,True,False,False,False
110,20,6,20,0,3,90,58.4,0,0.06666666666666667,0.2222222222222222,20,0.03333333333333333,0,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,True,False
103,94,1,15,1,27,14,55.7,1,0.07142857142857142,1.0714285714285714,188,1.9285714285714286,1,False,False,True,False,False,False,True,False,False,False,True,False,False,False,True,True,False,True,False,False,False,True,False,False,False,True,False
107,24,0,26,2,37,38,85.5,1,0.0,0.6842105263157895,72,0.9736842105263158,1,False,False,False,False,True,True,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False
102,109,3,18,0,29,45,63.0,1,0.06666666666666667,0.4,109,0.6444444444444445,0,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False,True,False,False,True,False,False,False,True,False,False,True,False
101,25,3,5,1,26,45,66.9,1,0.06666666666666667,0.1111111111111111,50,0.5777777777777777,0,False,False,False,False,True,True,False,False,False,False,False,True,False,False,False,True,False,False,True,False,False,False,False,True,False,False,False
111,118,0,9,2,27,83,82.8,0,0.0,0.10843373493975904,354,0.3253012048192771,1,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,True,False,False,False,False,False,True,False,True,False,False
105,24,3,15,0,25,14,50.4,1,0.21428571428571427,1.0714285714285714,24,1.7857142857142858,1,False,False,True,False,False,False,False,False,True,False,False,False,True,False,True,True,False,False,True,False,False,False,False,False,False,True,False
101,92,3,12,3,40,45,96.6,1,0.06666666666666667,0.26666666666666666,368,0.8888888888888888,0,False,False,False,False,True,False,False,True,False,False,False,True,False,False,False,False,True,False,True,False,False,True,False,False,True,False,False
100,47,1,2,1,43,21,41.6,1,0.047619047619047616,0.09523809523809523,94,2.0476190476190474,0,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,True,False,False,False
111,102,2,21,0,30,23,75.9,1,0.08695652173913043,0.9130434782608695,102,1.3043478260869565,1,False,False,False,True,False,False,False,False,True,False,False,False,False,True,True,False,True,True,False,False,False,True,False,False,False,True,False
111,88,2,7,0,44,35,52.7,1,0.05714285714285714,0.2,88,1.2571428571428571,0,False,True,False,False,False,True,False,False,False,False,False,False,False,True,False,True,False,True,False,False,False,True,False,True,False,False,False
116,106,2,19,1,20,14,73.6,1,0.14285714285714285,1.3571428571428572,212,1.4285714285714286,0,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,True,False,False,False,False,True,False,False,True,False
109,127,2,7,3,7,30,67.1,1,0.06666666666666667,0.23333333333333334,508,0.23333333333333334,0,False,False,False,True,False,True,False,False,False,False,False,True,False,False,False,False,True,True,False,False,False,False,True,True,False,False,False
115,63,0,6,3,29,35,67.2,1,0.0,0.17142857142857143,252,0.8285714285714286,0,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,True,False,False,True,False,False,False
114,35,6,26,1,34,45,90.8,1,0.13333333333333333,0.5777777777777777,70,0.7555555555555555,0,False,False,False,False,True,False,False,False,True,False,False,True,False,False,False,False,True,False,False,True,False,False,False,False,False,True,False
114,90,1,10,3,26,45,67.1,1,0.022222222222222223,0.2222222222222222,360,0.5777777777777777,0,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,True,False,False
118,97,0,28,3,27,30,80.8,1,0.0,0.9333333333333333,388,0.9,0,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,True,False
111,41,5,30,1,44,45,89.7,1,0.1111111111111111,0.6666666666666666,82,0.9777777777777777,0,False,False,False,False,True,True,False,False,False,True,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,True,False
119,92,5,19,1,9,83,99.9,1,0.060240963855421686,0.2289156626506024,184,0.10843373493975904,1,False,False,False,False,False,False,False,True,False,False,False,True,False,False,True,False,True,False,False,True,False,True,False,False,False,True,False
102,42,3,2,1,22,35,64.8,1,0.08571428571428572,0.05714285714285714,84,0.6285714285714286,0,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False,True,False,False,False,False,True,False,False,False
104,62,1,20,0,12,35,46.6,1,0.02857142857142857,0.5714285714285714,62,0.34285714285714286,0,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False,True,False,False,True,False,False,False,False,True,False
118,87,4,20,1,6,45,70.6,1,0.08888888888888889,0.4444444444444444,174,0.13333333333333333,0,False,False,False,False,True,False,False,True,False,False,True,False,False,False,False,False,True,False,True,False,False,True,False,False,False,True,False
106,62,2,29,1,6,30,71.7,1,0.06666666666666667,0.9666666666666667,124,0.2,0,False,False,False,True,False,False,False,False,True,True,False,False,False,False,False,True,False,True,False,False,True,False,False,False,False,True,False
108,45,5,6,1,27,90,72.3,0,0.05555555555555555,0.06666666666666667,90,0.3,0,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,True,False,False,True,False,False,False,True,False,False,False
106,60,5,10,0,19,14,62.7,1,0.35714285714285715,0.7142857142857143,60,1.3571428571428572,0,True,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,True,False,False,True,True,False,False,False,True,False,False
117,89,3,16,1,6,45,60.3,1,0.06666666666666667,0.35555555555555557,178,0.13333333333333333,0,False,False,False,False,True,False,True,False,False,False,True,False,False,False,False,False,True,False,True,False,False,True,False,False,False,True,False
103,50,2,24,1,17,7,60.2,1,0.2857142857142857,3.4285714285714284,100,2.4285714285714284,1,True,False,False,False,False,False,False,False,True,True,False,False,False,False,True,True,False,True,False,False,True,False,False,False,False,True,False
