case_id,case_type,country,processing_stage,office_id,office_load,priority,document_complexity,documents_missing,client_response_delay_days,reassignment_count,days_in_stage,sla_target_days,total_processing_days,sla_breach
1,Tax,CA,Intake,106,51,Normal,Medium,1,18,1,3,21,43.7,True
2,Relocation,DE,Government Review,119,34,Normal,Low,6,4,2,4,35,65.2,True
3,Relocation,DE,Government Review,114,121,Urgent,Low,1,25,0,40,28,85.6,True
4,Visa Renewal,DE,Intake,110,94,Normal,Low,2,4,0,33,30,49.7,True
5,Tax,UK,Documentation,107,85,Normal,Medium,0,7,1,20,21,45.4,True
6,Visa Renewal,US,Government Review,106,109,Urgent,Low,6,29,0,15,23,88.1,True
7,Tax,CA,Documentation,118,82,Normal,Medium,4,16,1,7,21,56.5,True
8,Visa Renewal,CA,Decision,110,117,Normal,Low,5,2,0,44,30,59.0,True
9,PR Application,CA,Closure,110,20,Normal,Low,6,20,0,3,90,58.4,False
10,Tax,DE,Documentation,103,94,Urgent,Low,1,15,1,27,14,55.7,True
11,Work Permit,CA,Documentation,107,24,Urgent,High,0,26,2,37,38,85.5,True
12,Work Permit,US,Submission,102,109,Normal,Low,3,18,0,29,45,63.0,True
13,Work Permit,CA,Government Review,101,25,Normal,Low,3,5,1,26,45,66.9,True
14,PR Application,AU,Documentation,111,118,Urgent,Medium,0,9,2,27,83,82.8,False
15,Tax,US,Intake,105,24,Urgent,Low,3,15,0,25,14,50.4,True
16,Work Permit,UK,Government Review,101,92,Normal,Medium,3,12,3,40,45,96.6,True
17,Tax,CA,Closure,100,47,Normal,Low,1,2,1,43,21,41.6,True
18,Visa Renewal,US,Submission,111,102,Urgent,Medium,2,21,0,30,23,75.9,True
19,Relocation,CA,Submission,111,88,Normal,Low,2,7,0,44,35,52.7,True
20,Payroll,UK,Closure,116,106,Normal,Medium,2,19,1,20,14,73.6,True
21,Visa Renewal,CA,Government Review,109,127,Normal,Medium,2,7,3,7,30,67.1,True
22,Relocation,AU,Government Review,115,63,Normal,Medium,0,6,3,29,35,67.2,True
23,Work Permit,US,Government Review,114,35,Normal,Medium,6,26,1,34,45,90.8,True
24,Work Permit,US,Closure,114,90,Normal,High,1,10,3,26,45,67.1,True
25,Visa Renewal,AU,Government Review,118,97,Normal,Low,0,28,3,27,30,80.8,True
26,Work Permit,CA,Decision,111,41,Normal,Low,5,30,1,44,45,89.7,True
27,PR Application,UK,Government Review,119,92,Urgent,Medium,5,19,1,9,83,99.9,True
